id,email,password,first_name,last_name,phone,role,store_name,store_slug,store_category,store_description,store_logo,merchant_verified,last_login,created_at,updated_at
73cca501-cd13-4bf8-b32a-a365ba3d1992,admin@eishro.ly,$2b$12$JLtbAt5kHaHzeVzEV8zeyu2WZe1zs41CNR17htcrFPj7UepqkqHH2,مدير,النظام,+21891000000,admin,null,null,null,null,null,true,null,2025-12-17 15:04:36.402+00,2025-12-17 15:04:36.402+00
799d6ecd-04d4-44ef-98c6-b82d18f18564,merchant1@eishro.ly,$2b$12$bbVAb4xn6hS2mkWp9zBHFuL9g9ymhXWDFn.82xKgQHOF9aZnxMJA.,أحمد,التاجر,+21891000001,merchant,نواعم,nawaem,ملابس نسائية,متجر متخصص في الملابس النسائية الأنيقة والعصرية,null,true,null,2025-12-17 15:04:42.691+00,2025-12-17 15:04:42.691+00
092dac18-2ebc-46ac-aca4-8a9b069d4f54,merchant2@eishro.ly,$2b$12$yhc1TpXzcHBnPf/UIzwP2OPLVUQLDfjMHTvVukv9Xgb4HtCcFJHOK,فاطمة,التاجرة,+21891000002,merchant,شيرين,sheirine,إكسسوارات ومجوهرات,متجر متخصص في الإكسسوارات والمجوهرات الراقية,null,true,null,2025-12-17 15:04:45.977+00,2025-12-17 15:04:45.977+00
ea048a14-5771-47af-ab5f-0fbc2deadfa4,merchant3@eishro.ly,$2b$12$R0aHExH7hWWqkTeqWTHI9.oZuclc.PQgTeV/RGM7ehL37LcAN/.CK,علي,البائع,+21891000003,merchant,Pretty,pretty,عطور وجمال,متجر متخصص في العطور ومنتجات الجمال,null,true,null,2025-12-17 15:04:49.255+00,2025-12-17 15:04:49.255+00
c84c2a05-48f2-43f9-a33b-56b039db922c,merchant4@eishro.ly,$2b$12$0nHKERR1RxHG/DyvX6YHj./KJ8j.ZJ1YRikDIsqmFYoA5maYOLKh6,محمود,التجار,+21891000004,merchant,Delta Store,delta-store,إلكترونيات وأجهزة,متجر متخصص في الإلكترونيات والأجهزة الكهربائية,null,true,null,2025-12-17 15:04:52.466+00,2025-12-17 15:04:52.466+00
87ba0da6-8a54-4bde-a60b-4043f3f5f1ba,merchant5@eishro.ly,$2b$12$lxPpHJyZNIvSshJJPtncNOOqp5M3cDtbK0dFTU/c56rjCvJ/xmEVS,سارة,الجمالية,+21891000005,merchant,Magna Beauty,magna-beauty,مستحضرات تجميل,متجر متخصص في مستحضرات التجميل والعناية بالبشرة,null,true,null,2025-12-17 15:04:55.663+00,2025-12-17 15:04:55.663+00
d6c4e473-2c67-4526-b353-54e413a9f4f4,customer1@eishro.ly,$2b$12$dz08cbw7k6/NmX/xIhqmIeQNsmtn3TEB6Mqf/UQVativzXJJsxs6q,محمد,العميل,+21891000003,customer,null,null,null,null,null,false,null,2025-12-17 15:04:59.782+00,2025-12-17 15:04:59.782+00
d9236cf2-8fd1-4168-8801-d5df93cdb17e,customer2@eishro.ly,$2b$12$rXGSD30jKKmcUezjwe/boe7IxkxGcPM4X660XLqI54sgC.xPfmx/W,سارة,العميلة,+21891000004,customer,null,null,null,null,null,false,null,2025-12-17 15:05:02.383+00,2025-12-17 15:05:02.383+00
9712f83c-b3b7-46a4-8e86-5d460002031a,legacy+indeesh@ishro.local,$2b$12$2SQLPSRLBN4vWVCYmrCYeO1gSlbk7KWjrcItaxz9BJiEGf.Vbmsp.,Legacy,Store,0000000000,merchant,indeesh,indeesh,general,Auto-created legacy merchant for indeesh,null,true,null,2025-12-20 03:36:11.191+00,2025-12-20 03:36:11.191+00
aa3949cf-af15-477f-8c6c-551e2bce72a4,salem.mfurjani@gmail.com,$2b$12$VmGEsO/UP.7kdIbGCam7w.hb55no3BLNfickv0ybceC0HPaHrnzCm,سالم,محمد فرجاني,0927774442,merchant,شيخه,shekha,fashion,"أرقى الموديلات الفاخرة ",https://wbakbuqvdbmweujkbzxn.supabase.co/storage/v1/object/public/ishro-assets/stores/shekha/logo/logo.webp,true,null,2026-02-10 09:30:13.889+00,2026-02-10 09:30:13.889+00
